code,value,source,href,year
AT,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
BE,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
BG,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
HR,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
CY,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
CZ,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
DK,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
EE,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
FI,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
FR,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
DE,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
GR,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
HU,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
IE,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
IT,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
LV,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
LT,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
LU,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
MT,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
NL,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
PL,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
PT,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
RO,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
SK,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
SI,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
ES,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
SE,,Eurostat sdg_05_20,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,2023
